#Ecol(eV)    prop(Jmax)    ICS(bohr^2)
    0.000010000     0.000000017     0.000021427
    0.000020000     0.000000024     0.000015237
    0.000030000     0.000000029     0.000012517
    0.000040000     0.000000034     0.000010909
    0.000050000     0.000000038     0.000009822
    0.000060000     0.000000042     0.000009028
    0.000070000     0.000000046     0.000008418
    0.000080000     0.000000049     0.000007932
    0.000090000     0.000000053     0.000007537
    0.000100000     0.000000056     0.000007206
    0.000110000     0.000000059     0.000006927
    0.000120000     0.000000062     0.000006688
    0.000130000     0.000000065     0.000006481
    0.000140000     0.000000069     0.000006301
    0.000150000     0.000000072     0.000006143
    0.000160000     0.000000075     0.000006003
    0.000170000     0.000000078     0.000005879
    0.000180000     0.000000081     0.000005769
    0.000190000     0.000000084     0.000005671
    0.000200000     0.000000087     0.000005584
    0.000210000     0.000000090     0.000005506
    0.000220000     0.000000093     0.000005436
    0.000230000     0.000000096     0.000005373
    0.000240000     0.000000099     0.000005318
    0.000250000     0.000000102     0.000005268
    0.000260000     0.000000106     0.000005224
    0.000270000     0.000000109     0.000005185
    0.000280000     0.000000112     0.000005150
    0.000290000     0.000000115     0.000005120
    0.000300000     0.000000119     0.000005094
    0.000310000     0.000000122     0.000005072
    0.000320000     0.000000126     0.000005053
    0.000330000     0.000000129     0.000005037
    0.000340000     0.000000133     0.000005025
    0.000350000     0.000000136     0.000005015
    0.000360000     0.000000140     0.000005008
    0.000370000     0.000000144     0.000005004
    0.000380000     0.000000148     0.000005001
    0.000390000     0.000000152     0.000005002
    0.000400000     0.000000156     0.000005004
    0.000410000     0.000000160     0.000005009
    0.000420000     0.000000164     0.000005015
    0.000430000     0.000000168     0.000005024
    0.000440000     0.000000172     0.000005034
    0.000450000     0.000000176     0.000005046
    0.000460000     0.000000181     0.000005060
    0.000470000     0.000000185     0.000005076
    0.000480000     0.000000190     0.000005093
    0.000490000     0.000000195     0.000005112
    0.000500000     0.000000199     0.000005132
    0.000510000     0.000000204     0.000005153
    0.000520000     0.000000209     0.000005176
    0.000530000     0.000000214     0.000005201
    0.000540000     0.000000219     0.000005227
    0.000550000     0.000000225     0.000005254
    0.000560000     0.000000230     0.000005282
    0.000570000     0.000000235     0.000005312
    0.000580000     0.000000241     0.000005342
    0.000590000     0.000000246     0.000005374
    0.000600000     0.000000252     0.000005408
    0.000610000     0.000000258     0.000005442
    0.000620000     0.000000264     0.000005477
    0.000630000     0.000000270     0.000005514
    0.000640000     0.000000276     0.000005551
    0.000650000     0.000000282     0.000005590
    0.000660000     0.000000289     0.000005630
    0.000670000     0.000000295     0.000005670
    0.000680000     0.000000302     0.000005712
    0.000690000     0.000000309     0.000005754
    0.000700000     0.000000315     0.000005798
    0.000710000     0.000000322     0.000005842
    0.000720000     0.000000329     0.000005888
    0.000730000     0.000000337     0.000005934
    0.000740000     0.000000344     0.000005981
    0.000750000     0.000000351     0.000006029
    0.000760000     0.000000359     0.000006078
    0.000770000     0.000000367     0.000006127
    0.000780000     0.000000374     0.000006178
    0.000790000     0.000000382     0.000006229
    0.000800000     0.000000391     0.000006281
    0.000810000     0.000000399     0.000006334
    0.000820000     0.000000407     0.000006387
    0.000830000     0.000000415     0.000006441
    0.000840000     0.000000424     0.000006496
    0.000850000     0.000000433     0.000006552
    0.000860000     0.000000442     0.000006608
    0.000870000     0.000000451     0.000006665
    0.000880000     0.000000460     0.000006722
    0.000890000     0.000000469     0.000006781
    0.000900000     0.000000478     0.000006840
    0.000910000     0.000000488     0.000006899
    0.000920000     0.000000498     0.000006959
    0.000930000     0.000000507     0.000007019
    0.000940000     0.000000517     0.000007080
    0.000950000     0.000000527     0.000007142
    0.000960000     0.000000537     0.000007204
    0.000970000     0.000000548     0.000007266
    0.000980000     0.000000558     0.000007329
    0.000990000     0.000000569     0.000007393
